match_id,player_name,x,y,is_goal,xg_predicted
14,Igor Thiago,89.8,49.2,0,0.6240067491236007
14,Jordan Henderson,90.0,68.0,0,0.3477516861118512
14,Igor Thiago,91.1,50.6,0,0.6267483966226717
14,Kevin Schade,93.5,57.7,0,0.5477621391362315
14,Yehor Yarmoliuk,78.1,48.3,0,0.622806403726153
14,Youri Tielemans,89.2,66.7,0,0.3456483316100535
14,John McGinn,80.9,41.7,0,0.4028452199908434
14,Tyrone Mings,89.5,41.3,0,0.45912012701586613
14,Tyrone Mings,91.5,47.0,0,0.5747669923173021
14,Morgan Rogers,87.4,62.4,0,0.3714327124889969
14,Ollie Watkins,83.7,56.4,0,0.4625305779590291
14,Emiliano Buendía,89.5,48.7,0,0.6105168634186634
14,Pau Torres,86.8,45.6,0,0.5248357725664825
14,Emiliano Buendía,77.4,49.5,0,0.6703302298766484
14,Amadou Onana,85.3,54.8,0,0.5105170556627496
14,Amadou Onana,73.1,45.1,0,0.5125682113687516
14,Morgan Rogers,90.1,51.6,0,0.6021020545646008
14,Ollie Watkins,87.4,66.4,0,0.31602997199819577
14,Igor Thiago,88.9,67.1,0,0.33481005714564455
14,Ian Maatsen,79.6,68.9,0,0.19588451613789234
14,Ollie Watkins,91.8,44.5,0,0.5388767015622021
14,Ollie Watkins,92.0,56.0,0,0.5353241665723556
15,Eliezer Mayenda,93.0,52.2,0,0.5963217647455237
15,Hannibal Mejbri,80.6,35.4,0,0.26597495376165464
15,Chemsdine Talbi,92.7,67.0,0,0.42908658216004764
15,Lesley Ugochukwu,81.2,63.2,0,0.2949498506975997
15,Granit Xhaka,79.9,36.6,0,0.2828593817113109
15,Josh Cullen,85.0,64.8,1,0.3037223234919098
15,Jaidon Anthony,95.4,58.7,0,0.5954832044485031
15,Trai Hume,80.2,31.9,0,0.21063101388374922
15,Jacob Bruun Larsen,87.0,33.7,0,0.3108101721877725
15,Omar Alderete,85.7,60.1,0,0.390312560433481
15,Marc Guiu,87.7,33.3,0,0.3173543781584249
15,Jaidon Anthony,88.7,65.2,1,0.35430654662480815
15,Patrick Roberts,85.6,35.8,0,0.3200125833609389
15,Loum Tchaouna,78.2,49.1,0,0.6527351811761892
15,Enzo Le Fée,80.9,50.0,0,0.6776035977310069
15,Omar Alderete,86.2,43.6,0,0.4726309461041432
16,Martin Ødegaard,78.1,62.4,0,0.2937212634594137
16,Martin Ødegaard,81.1,31.9,0,0.2178896516159299
16,Daniel James,80.3,34.6,0,0.2506614385382654
16,Gabriel Magalhães,90.1,55.4,0,0.5210636289471748
16,Viktor Gyökeres,90.5,48.1,0,0.5948190782463824
16,Daniel James,85.5,28.4,0,0.22657317076910785
16,Pascal Struijk,91.2,47.9,0,0.5913497930686183
16,Jurriën Timber,95.4,50.2,1,0.626077853401458
16,Martín Zubimendi,77.8,40.1,0,0.3517277962356191
16,Bukayo Saka,95.1,31.9,1,0.49550306092931656
16,Viktor Gyökeres,90.1,61.5,1,0.4293937864118755
16,Riccardo Calafiori,80.6,57.9,0,0.41283418336173433
16,Ethan Nwaneri,83.5,31.9,0,0.24115845583820006
16,Jurriën Timber,95.1,49.7,0,0.6256474667217358
16,Riccardo Calafiori,95.8,51.7,0,0.6254347489424581
16,Jurriën Timber,96.9,50.8,1,0.6329213632770042
16,Leandro Trossard,92.0,57.4,0,0.5182503161440106
16,Riccardo Calafiori,85.3,55.2,0,0.49954736424555546
16,Max Dowman,79.4,38.0,0,0.3082028833053347
16,Max Dowman,83.7,46.4,0,0.5451476405734839
16,Viktor Gyökeres,88.5,50.0,1,0.6519215812920894
17,Chris Wood,91.8,44.6,0,0.540228804204026
17,Ibrahim Sangaré,76.8,38.7,0,0.31385708939450646
17,Jean-Philippe Mateta,91.2,47.5,0,0.5830388663822988
17,Callum Hudson-Odoi,86.2,71.6,0,0.2368127496797888
17,Jean-Philippe Mateta,77.5,53.6,0,0.552978148627911
17,Maxence Lacroix,93.0,52.9,0,0.5868123938241363
17,Morgan Gibbs-White,85.6,46.6,0,0.5512268536194869
17,Ismaïla Sarr,91.7,50.5,1,0.6280077002964486
17,Will Hughes,84.0,66.9,0,0.26238376598062235
17,Marc Guéhi,93.7,39.7,0,0.5289736471009341
17,Chris Wood,97.1,39.4,0,0.6434141094987809
17,Will Hughes,87.4,61.2,0,0.3901969823721492
17,Callum Hudson-Odoi,90.7,37.0,1,0.42286975933967447
17,Justin Devenny,88.2,51.5,0,0.6064516242471685
17,Igor Jesus,91.4,65.6,0,0.4090035937668741
17,Omari Hutchinson,92.5,30.6,0,0.39687887306012365
17,Omari Hutchinson,93.4,56.4,0,0.5571625985888187
18,Iliman Ndiaye,79.5,54.0,0,0.5352932263692399
18,Yasin Ayari,80.0,63.0,0,0.2911009121385339
18,Kaoru Mitoma,87.2,58.7,0,0.4314761407879962
18,Danny Welbeck,93.3,49.6,0,0.6269906898150446
18,Thierno Barry,97.9,58.4,0,0.6917908956155846
18,Iliman Ndiaye,96.1,47.0,1,0.6357633992666186
18,Matt O'Riley,71.5,67.5,0,0.17595111679548953
18,Yasin Ayari,82.1,52.3,0,0.5908984767709149
18,Tim Iroegbunam,81.5,50.9,0,0.642730108585868
18,Yasin Ayari,71.2,48.8,0,0.6628651060692033
18,Jan Paul van Hecke,74.1,35.6,0,0.2378242597098315
18,James Garner,77.3,68.1,0,0.19151321259131782
18,Matt O'Riley,95.9,59.6,0,0.6061436399169071
18,James Garner,76.9,68.4,1,0.18526702145396842
18,Thierno Barry,96.7,47.8,0,0.6469391581780984
18,Yasin Ayari,81.1,53.4,0,0.5541516553272665
18,Matt O'Riley,86.8,46.4,0,0.5463938175668975
18,Yankuba Minteh,92.4,34.2,0,0.43365256145267206
18,Danny Welbeck,88.5,50.0,0,0.6519215812920894
18,Jack Grealish,81.2,69.9,0,0.1967469034834005
18,Dwight McNeil,87.1,54.2,0,0.5308447149363918
18,Beto,91.2,48.7,0,0.6092817095650691
18,Dwight McNeil,84.5,34.4,0,0.28617608015350243
18,Brajan Gruda,91.2,38.7,0,0.45469589607846717
19,Matheus Cunha,73.4,41.7,0,0.3925547667775948
19,Matheus Cunha,86.1,57.0,0,0.4581151823563347
19,Amad Diallo,90.5,35.2,0,0.3965923148825452
19,Bruno Fernandes,73.2,47.7,0,0.6135632024195607
19,Josh King,89.3,66.2,0,0.3537135955485761
19,Matheus Cunha,89.0,50.1,0,0.6470676243613741
19,Timothy Castagne,94.5,62.4,0,0.5335792901499627
19,Alex Iwobi,81.2,46.4,0,0.5471211974379808
19,Calvin Bassey,95.8,44.6,0,0.6264808754770715
19,Josh King,72.9,49.5,0,0.6845918925271681
19,Bruno Fernandes,88.5,50.0,0,0.6519215812920894
19,Rodrigo Muniz,96.4,43.2,0,0.6418508704313559
19,Timothy Castagne,96.1,46.6,0,0.6368308630260667
19,Rodrigo Muniz,90.5,34.4,0,0.3870956509873697
19,Amad Diallo,91.9,29.7,0,0.37003509854450667
19,Leny Yoro,96.0,53.5,0,0.6342050521689712
19,Rodrigo Muniz,3.3,45.4,1,0.7341489369867286
19,Rodrigo Muniz,93.0,53.2,0,0.583047975486103
19,Alex Iwobi,88.7,66.9,0,0.3332687466378963
19,Alex Iwobi,77.7,43.6,0,0.45460851935228996
19,Emile Smith Rowe,96.0,53.4,1,0.6340446445049572
19,Diogo Dalot,85.2,32.1,0,0.2643080688176812
19,Harry Maguire,92.7,53.0,0,0.5829264774736281
19,Emile Smith Rowe,88.1,66.9,0,0.3219866813420783
20,Florian Wirtz,87.4,73.2,0,0.24013623143273174
20,Sandro Tonali,85.6,83.8,0,0.1308405669973377
20,Anthony Gordon,93.1,46.0,0,0.5750160198660698
20,Anthony Gordon,95.1,50.1,0,0.6277263934337838
20,Anthony Gordon,91.1,40.3,0,0.4723950814554445
20,Ryan Gravenberch,76.0,63.4,1,0.2644076149288889
20,Sandro Tonali,83.9,34.8,0,0.28532241468198627
20,Dan Burn,89.9,37.4,0,0.41107470845949307
20,Cody Gakpo,81.8,64.2,0,0.28173104203381977
20,Hugo Ekitiké,84.7,51.0,1,0.6300542806653932
20,Bruno Guimarães,92.3,46.6,1,0.5738340567042168
20,Joelinton,91.4,56.2,0,0.5236559136144776
20,William Osula,90.1,60.7,1,0.44008104449258106
20,Lewis Miley,78.2,51.9,0,0.6149784453898486
20,Rio Ngumoha,88.4,54.6,1,0.5257126418810139
21,João Pedro,76.4,29.6,0,0.1580063077122805
