player_name,team,position,cluster
Akhamrich,Spurs,MID,1
Golambeckis,West Ham,DEF,1
Ruddy,Newcastle,GKP,1
DaCosta,Bournemouth,MID,1
Hollingshead,Aston Villa,GKP,1
Salmon,Arsenal,DEF,1
Lucky,Liverpool,DEF,1
Simmonds,Brighton,DEF,1
Gray,Man City,MID,1
Heskey,Man City,MID,1
Shahar,Newcastle,DEF,1
Olagunju,Wolves,DEF,1
Rawlings,Wolves,MID,1
Leon Routh,Aston Villa,DEF,1
Ridgeon,Fulham,MID,1
Alabi,Newcastle,MID,1
Benamar,Crystal Palace,DEF,1
Jenson Jones,Sunderland,DEF,1
Tutierov,Sunderland,MID,1
Pimlott,Burnley,MID,1
Ojinnaka,Wolves,MID,1
Sutherland,Wolves,MID,1
Graham,Everton,FWD,1
Casey,Crystal Palace,FWD,1
Carroll,Aston Villa,DEF,1
Forster,Bournemouth,GKP,1
Brierley,Burnley,MID,1
McNally,Fulham,GKP,1
Chambers,Leeds,MID,1
Kukonki,Man Utd,DEF,1
Merrick,Chelsea,GKP,1
Williams-Barnett,Spurs,MID,1
King,Crystal Palace,DEF,1
Furo,Brentford,FWD,1
Imray,Crystal Palace,DEF,1
Stevens,Bournemouth,MID,1
Lamadrid,West Ham,MID,1
Sharman-Lowe,Chelsea,GKP,1
Mandas,Bournemouth,GKP,1
Abbey,Wolves,MID,1
Bentt,Brentford,MID,1
Kyerematen,Spurs,MID,1
Wilson,Spurs,FWD,1
Shield,Brentford,DEF,1
McMahon-Brown,Burnley,MID,1
Whittaker,Sunderland,MID,1
Jones,Sunderland,MID,1
